api,inboundDependencyCount,inboundDependents,outboundDependencyCount,outboundDependencies
Service-1,3,"[Service-1563, Service-16919, Service-18765]",1,"[Service-65]"
Service-2,0,[],0,[]
Service-3,2,"[Service-9963, Service-4127]",4,"[Service-14303, Service-5749, Service-5863, Service-12191]"
Service-4,3,"[Service-17524, Service-6106, Service-12489]",3,"[Service-4002, Service-12920, Service-18220]"
Service-5,0,[],1,"[Service-15425]"
Service-6,4,"[Service-12227, Service-18853, Service-17895, Service-8380]",0,[]
Service-7,0,[],2,"[Service-3268, Service-10418]"
Service-8,4,"[Service-3025, Service-2629, Service-15723, Service-10078]",0,[]
Service-9,3,"[Service-2050, Service-10967, Service-7180]",2,"[Service-8270, Service-3175]"
Service-10,3,"[Service-9922, Service-5927, Service-1440]",3,"[Service-19551, Service-6271, Service-8709]"
Service-11,0,[],0,[]
Service-12,2,"[Service-1280, Service-6183]",2,"[Service-12215, Service-16255]"
Service-13,1,"[Service-12713]",0,[]
Service-14,3,"[Service-7115, Service-4667, Service-319]",4,"[Service-4022, Service-6317, Service-5936, Service-3627]"
Service-15,2,"[Service-10514, Service-3024]",1,"[Service-19020]"
Service-16,3,"[Service-2276, Service-2791, Service-5678]",1,"[Service-1209]"
Service-17,0,[],2,"[Service-3073, Service-5234]"
Service-18,0,[],4,"[Service-18318, Service-17197, Service-19926, Service-9889]"
Service-19,0,[],3,"[Service-5080, Service-13539, Service-6553]"
Service-20,1,"[Service-11389]",1,"[Service-5300]"
Service-21,0,[],3,"[Service-12878, Service-15615, Service-4105]"
Service-22,3,"[Service-14569, Service-7213, Service-3500]",4,"[Service-1316, Service-16335, Service-19386, Service-1626]"
Service-23,2,"[Service-6548, Service-4632]",3,"[Service-9469, Service-4394, Service-10413]"
Service-24,3,"[Service-2893, Service-12070, Service-5000]",2,"[Service-8084, Service-10830]"
Service-25,2,"[Service-15707, Service-1216]",0,[]
Service-26,2,"[Service-8858, Service-18124]",4,"[Service-8501, Service-2999, Service-2833, Service-11762]"
Service-27,3,"[Service-16598, Service-12845, Service-5420]",3,"[Service-6013, Service-6019, Service-13924]"
Service-28,3,"[Service-3885, Service-7328, Service-15874]",0,[]
Service-29,2,"[Service-14764, Service-5462]",4,"[Service-5059, Service-10403, Service-16217, Service-7410]"
Service-30,0,[],0,[]
Service-31,4,"[Service-12347, Service-10976, Service-3773, Service-12676]",1,"[Service-3128]"
Service-32,0,[],1,"[Service-10440]"
Service-33,0,[],0,[]
Service-34,1,"[Service-18913]",3,"[Service-3350, Service-8019, Service-16404]"
Service-35,0,[],3,"[Service-12298, Service-13053, Service-3646]"
Service-36,3,"[Service-968, Service-4415, Service-12625]",2,"[Service-18537, Service-11788]"
Service-37,4,"[Service-9426, Service-16841, Service-17354, Service-9220]",3,"[Service-3436, Service-7665, Service-17036]"
Service-38,4,"[Service-1272, Service-9816, Service-1562, Service-14918]",0,[]
Service-39,0,[],2,"[Service-14327, Service-6792]"
Service-40,3,"[Service-9721, Service-18475, Service-10904]",0,[]
Service-41,3,"[Service-8800, Service-10783, Service-16249]",2,"[Service-12217, Service-7212]"
Service-42,4,"[Service-4239, Service-5949, Service-3964, Service-6664]",1,"[Service-18140]"
Service-43,0,[],1,"[Service-13647]"
Service-44,1,"[Service-10007]",0,[]
Service-45,2,"[Service-16335, Service-244]",1,"[Service-15230]"
Service-46,3,"[Service-2344, Service-9513, Service-8592]",2,"[Service-1210, Service-10417]"
Service-47,4,"[Service-10230, Service-6679, Service-6275, Service-16816]",3,"[Service-13817, Service-11558, Service-9424]"
Service-48,0,[],0,[]
